Community_Area,Name,Population,Ingresos,Latinos,Blacks,White,Asian,Other,Num_Afford_Rental_Houses,Num_Hospitals,Num_Schools,Criminalidad_100000,Consumo_Electrico
1,Rogers Park,54991,39482,0.244,0.263,0.393,0.064,0.036,10,0,9,525.541,Medio Bajo
2,West Ridge,71942,47323,0.204,0.111,0.427,0.225,0.032,6,0,10,316.922,Medio Bajo
3,Uptown,56362,40324,0.142,0.2,0.516,0.114,0.028,33,4,8,565.984,Medio
4,Lincoln Square,39493,57749,0.191,0.038,0.631,0.111,0.029,6,3,9,357.025,Medio Bajo
5,North Center,31867,81524,0.136,0.023,0.773,0.045,0.022,5,0,10,310.666,Medio Bajo
7,Lincoln Park,64116,82707,0.056,0.043,0.829,0.051,0.021,4,1,7,436.708,Medio
8,Near North Side,80484,76290,0.049,0.108,0.721,0.101,0.02,19,2,8,796.432,Muy Alto
9,Edison Park,11187,77678,0.078,0.003,0.884,0.024,0.012,0,0,12,178.779,Medio Bajo
10,Norwood Park,37023,64477,0.12,0.004,0.815,0.046,0.015,1,1,10,270.102,Medio Bajo
11,Jefferson Park,25448,60592,0.194,0.01,0.687,0.089,0.021,1,,11,341.874,Medio Bajo
12,Forest Glen,18508,87394,0.115,0.007,0.746,0.107,0.024,0,0,14,210.72,Medio Bajo
13,North Park,17931,53305,0.18,0.032,0.493,0.257,0.038,3,0,10,345.77,Medio Bajo
14,Albany Park,51542,46198,0.494,0.04,0.292,0.144,0.029,3,0,9,353.11,Medio Bajo
15,Portage Park,64124,52356,0.388,0.013,0.535,0.046,0.017,5,0,7,389.87,Medio Bajo
16,Irving Park,53359,54048,0.456,0.033,0.417,0.07,0.025,2,1,12,434.791,Medio Bajo
17,Dunning,41932,61584,0.238,0.007,0.704,0.038,0.013,1,0,8,343.413,Medio Bajo
18,Montclare,13426,47460,0.54,0.045,0.375,0.028,0.012,6,,9,320.274,Bajo
19,Belmont Cragin,78743,42842,0.789,0.032,0.152,0.02,0.008,7,0,9,448.294,Bajo
20,Hermosa,25010,42418,0.874,0.03,0.076,0.012,0.007,0,0,10,483.806,Medio Bajo
21,Avondale,39262,46519,0.644,0.025,0.284,0.03,0.016,4,0,8,440.63,Medio Bajo
22,Logan Square,72791,49610,0.512,0.054,0.392,0.025,0.017,33,0,11,502.809,Bajo
23,Humboldt Park,56323,29605,0.533,0.409,0.044,0.004,0.009,47,2,6,1093.692,Medio Bajo
24,West Town,82236,60720,0.291,0.078,0.572,0.038,0.022,34,3,8,753.928,Medio Bajo
25,Austin,98514,32358,0.089,0.851,0.044,0.006,0.01,12,1,5,1311.489,Medio Bajo
26,West Garfield Park,18001,23033,0.019,0.962,0.007,0.0,0.011,3,0,3,2183.212,Medio Bajo
27,East Garfield Park,20567,24488,0.041,0.909,0.034,0.004,0.012,13,1,4,2042.106,Medio Bajo
28,Near West Side,54881,62770,0.092,0.315,0.42,0.146,0.027,28,4,7,1078.698,Muy Alto
29,North Lawndale,35912,25797,0.06,0.914,0.014,0.002,0.01,36,2,5,1648.474,Medio Bajo
30,South Lawndale,79288,33593,0.826,0.131,0.039,0.001,0.004,3,1,9,456.563,Medio Bajo
31,Lower West Side,35769,34573,0.824,0.031,0.124,0.01,0.01,15,,9,575.918,Medio Bajo
32,Loop,29283,78124,0.069,0.115,0.627,0.159,0.031,2,,4,1994.331,
33,Near South Side,21390,75995,0.056,0.281,0.481,0.155,0.027,10,1,9,673.212,Muy Alto
34,Armour Square,13391,27619,0.035,0.106,0.123,0.726,0.011,1,0,8,716.899,Medio Bajo
35,Douglas,18238,32805,0.025,0.726,0.099,0.127,0.022,17,0,7,1025.332,Medio Alto
36,Oakland,5918,20800,0.015,0.941,0.021,0.006,0.018,18,,9,878.675,Medio Bajo
37,Fuller Park,2876,15086,0.046,0.922,0.016,0.002,0.014,1,0,1,2260.083,Bajo
38,Grand Boulevard,21929,28040,0.018,0.941,0.018,0.003,0.02,30,1,6,1153.723,Medio Bajo
39,Kenwood,17841,39371,0.03,0.719,0.165,0.055,0.032,4,0,7,594.137,Medio Alto
40,Washington Park,11717,21899,0.009,0.97,0.007,0.001,0.012,18,,4,1928.821,Medio Bajo
41,Hyde Park,25681,45335,0.063,0.304,0.467,0.124,0.041,5,1,10,541.256,Medio
42,Woodlawn,23740,27413,0.021,0.868,0.068,0.023,0.02,17,1,5,1238.416,Medio Bajo
43,South Shore,52010,27903,0.017,0.949,0.014,0.002,0.018,7,1,8,1267.064,Medio Bajo
44,Chatham,31028,32057,0.01,0.972,0.004,0.001,0.013,2,0,4,1563.104,Medio Bajo
45,Avalon Park,10185,46903,0.015,0.957,0.008,0.002,0.018,1,,8,922.926,Medio Bajo
46,South Chicago,31198,31164,0.217,0.747,0.019,0.002,0.015,3,1,6,1157.125,Bajo
47,Burnside,2916,32553,0.007,0.977,0.007,0.0,0.01,0,0,1,1577.503,Medio Bajo
48,Calumet Heights,13812,55669,0.041,0.934,0.009,0.002,0.014,1,1,7,847.089,Bajo
49,Roseland,44619,40142,0.01,0.974,0.004,0.001,0.011,7,1,7,1017.504,Bajo
50,Pullman,7325,40059,0.078,0.836,0.071,0.001,0.014,1,,7,1119.454,Medio
51,South Deering,15109,38594,0.318,0.619,0.048,0.001,0.013,1,,3,1078.827,Medio Bajo
52,East Side,23042,41196,0.784,0.034,0.172,0.002,0.007,0,,10,464.369,Bajo
53,West Pullman,29651,39601,0.051,0.931,0.006,0.0,0.012,4,0,9,964.554,Bajo
54,Riverdale,6482,13380,0.02,0.964,0.005,0.0,0.01,2,0,5,1511.879,Muy Alto
55,Hegewisch,9426,49924,0.496,0.039,0.449,0.005,0.011,1,0,12,350.095,Bajo
56,Garfield Ridge,34513,61206,0.392,0.059,0.532,0.01,0.007,3,,16,353.49,Medio Bajo
57,Archer Heights,13393,42571,0.76,0.01,0.215,0.01,0.005,0,,9,418.129,Medio Bajo
58,Brighton Park,45368,39289,0.853,0.012,0.081,0.05,0.004,1,,11,458.473,Medio Bajo
59,McKinley Park,15612,42327,0.648,0.015,0.171,0.157,0.01,0,0,9,570.074,Bajo
59,McKinley Park,0,42327,0.648,0.015,0.171,0.157,0.01,0,0,9,9999,Bajo
60,Bridgeport,31977,42382,0.27,0.021,0.351,0.345,0.013,2,0,12,356.506,Medio Bajo
61,New City,44377,32222,0.573,0.296,0.106,0.016,0.008,4,0,10,878.834,Medio Bajo
62,West Elsdon,18109,51003,0.79,0.014,0.179,0.012,0.004,1,,13,496.99,Bajo
63,Gage Park,39894,38855,0.892,0.054,0.047,0.003,0.003,1,0,14,363.463,Bajo
64,Clearing,23139,54123,0.453,0.012,0.515,0.009,0.01,0,0,12,363.023,Medio Bajo
65,West Lawn,33355,46891,0.8,0.042,0.148,0.006,0.005,1,0,14,428.721,Medio Bajo
66,Chicago Lawn,55628,37779,0.452,0.493,0.043,0.003,0.009,4,1,10,821.529,Bajo
67,West Englewood,35505,26654,0.022,0.963,0.004,0.001,0.011,4,0,5,1515.28,Bajo
68,Englewood,30654,19743,0.011,0.974,0.003,0.001,0.011,10,1,6,1653.944,Bajo
69,Greater Grand Crossing,32602,29663,0.012,0.969,0.006,0.001,0.013,1,0,3,1699.282,Bajo
70,Ashburn,41081,62238,0.368,0.462,0.152,0.007,0.011,1,0,10,423.553,Medio Bajo
71,Auburn Gresham,48743,34767,0.009,0.978,0.003,0.001,0.009,6,0,5,1333.525,Bajo
72,Beverly,20034,83092,0.046,0.341,0.588,0.006,0.019,0,0,14,294.499,Medio Bajo
73,Washington Heights,26493,42053,0.01,0.974,0.005,0.0,0.012,3,0,10,860.605,Bajo
74,Mount Greenwood,19093,80505,0.072,0.052,0.86,0.007,0.01,0,0,9,319.489,Medio Bajo
75,Morgan Park,22544,56886,0.027,0.667,0.287,0.004,0.014,0,0,8,660.93,Medio Bajo
76,O'Hare,12756,49601,0.095,0.032,0.772,0.083,0.019,0,0,7,870.179,Muy Alto
77,Edgewater,56521,43331,0.165,0.143,0.547,0.116,0.029,7,1,6,316.696,Medio Alto
